react_name,canonical_smiles,raw_energy,relative_energy,normalize_energy
C23193,CC1=C[C@H](C(C)C)[C+](C)C1,-390.8162942948768,-11.074335707985838,0.4306352454790656
C94646,C[C@@H]1[CH+]CC2(CCCC2)C1,-390.8162924259873,-11.073162962062309,0.4306505465127141
C100117,C[C@@H]1C[C@H]2C[CH+]C[C@@H]1CC2,-390.8162889301439,-11.070969287135236,0.430679167796489
C97960,C[C@H]1C[C@@H]2C[CH+]C[C@H]1CC2,-390.8162886911621,-11.07081932375997,0.4306811243964694
C5235,C=C1CC[C@H]([C+](C)C)[C@H]1C,-390.816284470981,-11.068171120029865,0.4307156760018679
C5239,C=C1CC[C@@H]([C+](C)C)[C@@H]1C,-390.81628315062153,-11.067342581934785,0.4307264860921164
C9485,C=C[C@H]1CC[C+](C)[C@@H](C)C1,-390.8162829286731,-11.067203307189043,0.4307283032355644
C32618,CC[C@H]1[C+](C)CC=C[C@H]1C,-390.81627976646666,-11.065218992607102,0.4307541929560728
C49288,C/C=C\[C@H]1CC[C+](C)[C@@H]1C,-390.81627226084447,-11.060509143377526,0.4308156432328083
C56855,C/C=C\[C@@H]1CC[C+](C)[C@H]1C,-390.81627177033647,-11.060201344947425,0.4308196591360329
C8009,[CH2+]C1=C[C@H](CC)[C@H](C)CC1,-390.8162703370293,-11.059301931095863,0.4308313939554261
C8203,[CH2+]C1=C[C@@H](CC)[C@@H](C)CC1,-390.8162702332495,-11.05923680826938,0.4308322436250257
C95837,C[C@@H]1[CH+][C@H]2CCCC[C@@H]1C2,-390.816265416669,-11.05621435825717,0.4308716780911023
C46881,[CH2+]C1=C[C@H](C)[C@@H](CC)CC1,-390.8162632468405,-11.054852770247797,0.4308894429824815
C62940,C/C1=C/CCCC[C@H](C)[CH+]1,-390.8162605636072,-11.053169015876104,0.4309114112381627
C89654,CCC1=C([C+](C)CC)CC1,-390.8162578742622,-11.05148142632476,0.4309334295321443
C64253,C/C1=C/CCCC[C@@H](C)[CH+]1,-390.8162574071917,-11.051188335153544,0.4309372535470335
C60228,CC[C@@H]1C=CCC[C+](C)C1,-390.81625690908106,-11.05087576599666,0.4309413316948157
C60798,CC[C@H]1C=CCC[C+](C)C1,-390.81625690691385,-11.050874406050426,0.4309413494382865
C104323,C[C@H]1CC[C+](C2CCC2)C1,-390.816256007838,-11.05031022739982,0.4309487103818152
C108790,CCC[C@@H]1[CH+]C=CCCC1,-390.8162477125487,-11.045104854582286,0.4310166258467394
C32231,CC/C=C1/C[C+](C)[C@H](C)C1,-390.8162399410636,-11.040228173842962,0.4310802528051355
C96134,C=C[C@H]1CCCC[C+]1CC,-390.8162388745092,-11.03955890084008,0.431088984934177
C59769,CC[C+]1CC[C@H]2C[C@@H](C)[C@@H]12,-390.8162124036562,-11.02294818909986,0.4313057079721037
C101466,CC[C@H]1C[C@H]2[CH+]C[C@@H](C1)C2,-390.8162096354514,-11.021211114284586,0.431328371909505
C12545,C=C(C)C[C+]1CC[C@@H](C)C1,-390.8162028974655,-11.016982964104256,0.4313835373693734
C14212,C[C@@H]1C[C@H]2[CH+][C@H](CC2)[C@@H]1C,-390.8161979523478,-11.013879855789932,0.4314240241992826
C32774,CC[C+](C)[C@H]1C=C[C@H](C)C1,-390.81619589767786,-11.012590530877665,0.4314408462606265
C13080,[CH2+]C1=CCC(C)(C)[C@H](C)C1,-390.8161953035724,-11.01221772404975,0.4314457103404788
C13079,[CH2+]C1=CCC(C)(C)[C@@H](C)C1,-390.8161952591722,-11.012189862523092,0.4314460738549863
C35368,C[C@H]1C[C@@H]2[CH+][C@@H](CC2)[C@H]1C,-390.816188523802,-11.007963353723609,0.4315012178994543
C10377,C[C+]1[C@@H]2C[C@@H](C)C[C@H]1[C@H]2C,-390.8161849259783,-11.005705685168444,0.4315306741199678
C80523,C[C+]1[C@H](C)[C@H]2CCCC[C@@H]12,-390.816181378292,-11.003479478327042,0.4315597198536647
C10279,C/C=C1\CCC[C+](C)CC1,-390.81617658914126,-11.000474240734084,0.4315989297461138
C91398,CC[C@@H](C)[C+]1CC=CCC1,-390.816174451942,-10.999133127894895,0.4316164274941488
